card_name_x,set_id,card_number,binder_name,page_number,slot_number,card_id,card_name_y,set_name,card_market_value,index
Alakazam,base4,1,2,1,1,base4-1,,NOT_FOUND,0.0,2-1-1
Blastoise,base4,2,2,1,2,base4-2,,NOT_FOUND,0.0,2-1-2
Chansey,base4,3,2,1,3,base4-3,,NOT_FOUND,0.0,2-1-3
Charizard,base4,4,2,1,4,base4-4,,NOT_FOUND,0.0,2-1-4
Clefable,base4,5,2,1,5,base4-5,,NOT_FOUND,0.0,2-1-5
Clefairy,base4,6,2,1,6,base4-6,,NOT_FOUND,0.0,2-1-6
Gyarados,base4,7,2,1,7,base4-7,,NOT_FOUND,0.0,2-1-7
Hitmonchan,base4,8,2,1,8,base4-8,,NOT_FOUND,0.0,2-1-8
Magneton,base4,9,2,1,9,base4-9,,NOT_FOUND,0.0,2-1-9
Mewtwo,base4,10,2,2,1,base4-10,,NOT_FOUND,0.0,2-2-1
Nidoking,base4,11,2,2,2,base4-11,,NOT_FOUND,0.0,2-2-2
Nidoqueen,base4,12,2,2,3,base4-12,,NOT_FOUND,0.0,2-2-3
Ninetales,base4,13,2,2,4,base4-13,,NOT_FOUND,0.0,2-2-4
Pidgeot,base4,14,2,2,5,base4-14,,NOT_FOUND,0.0,2-2-5
Poliwrath,base4,15,2,2,6,base4-15,,NOT_FOUND,0.0,2-2-6
Raichu,base4,16,2,2,7,base4-16,,NOT_FOUND,0.0,2-2-7
Scyther,base4,17,2,2,8,base4-17,,NOT_FOUND,0.0,2-2-8
Venusaur,base4,18,2,2,9,base4-18,,NOT_FOUND,0.0,2-2-9
Wigglytuff,base4,19,2,3,1,base4-19,,NOT_FOUND,0.0,2-3-1
Zapdos,base4,20,2,3,2,base4-20,,NOT_FOUND,0.0,2-3-2
Beedrill,base4,21,2,3,3,base4-21,,NOT_FOUND,0.0,2-3-3
Dragonair,base4,22,2,3,4,base4-22,,NOT_FOUND,0.0,2-3-4
Dugtrio,base4,23,2,3,5,base4-23,,NOT_FOUND,0.0,2-3-5
Electabuzz,base4,24,2,3,6,base4-24,,NOT_FOUND,0.0,2-3-6
Electrode,base4,25,2,3,7,base4-25,,NOT_FOUND,0.0,2-3-7
Kangaskhan,base4,26,2,3,8,base4-26,,NOT_FOUND,0.0,2-3-8
Mr. Mime,base4,27,2,3,9,base4-27,,NOT_FOUND,0.0,2-3-9
Pidgeotto,base4,28,2,4,1,base4-28,,NOT_FOUND,0.0,2-4-1
Pinsir,base4,29,2,4,2,base4-29,,NOT_FOUND,0.0,2-4-2
Snorlax,base4,30,2,4,3,base4-30,,NOT_FOUND,0.0,2-4-3
Venomoth,base4,31,2,4,4,base4-31,,NOT_FOUND,0.0,2-4-4
Victreebel,base4,32,2,4,5,base4-32,,NOT_FOUND,0.0,2-4-5
Arcanine,base4,33,2,4,6,base4-33,,NOT_FOUND,0.0,2-4-6
Butterfree,base4,34,2,4,7,base4-34,,NOT_FOUND,0.0,2-4-7
Charmeleon,base4,35,2,4,8,base4-35,,NOT_FOUND,0.0,2-4-8
Dewgong,base4,36,2,4,9,base4-36,,NOT_FOUND,0.0,2-4-9
Dodrio,base4,37,2,5,1,base4-37,,NOT_FOUND,0.0,2-5-1
Dratini,base4,38,2,5,2,base4-38,,NOT_FOUND,0.0,2-5-2
Exeggutor,base4,39,2,5,3,base4-39,,NOT_FOUND,0.0,2-5-3
Farfetch'd,base4,40,2,5,4,base4-40,,NOT_FOUND,0.0,2-5-4
Fearow,base4,41,2,5,5,base4-41,,NOT_FOUND,0.0,2-5-5
Growlithe,base4,42,2,5,6,base4-42,,NOT_FOUND,0.0,2-5-6
Haunter,base4,43,2,5,7,base4-43,,NOT_FOUND,0.0,2-5-7
Ivysaur,base4,44,2,5,8,base4-44,,NOT_FOUND,0.0,2-5-8
Jynx,base4,45,2,5,9,base4-45,,NOT_FOUND,0.0,2-5-9
Kadabra,base4,46,2,6,1,base4-46,,NOT_FOUND,0.0,2-6-1
Kakuna,base4,47,2,6,2,base4-47,,NOT_FOUND,0.0,2-6-2
Lickitung,base4,48,2,6,3,base4-48,,NOT_FOUND,0.0,2-6-3
Machoke,base4,49,2,6,4,base4-49,,NOT_FOUND,0.0,2-6-4
Magikarp,base4,50,2,6,5,base4-50,,NOT_FOUND,0.0,2-6-5
Magmar,base4,51,2,6,6,base4-51,,NOT_FOUND,0.0,2-6-6
Marowak,base4,52,2,6,7,base4-52,,NOT_FOUND,0.0,2-6-7
Nidorina,base4,53,2,6,8,base4-53,,NOT_FOUND,0.0,2-6-8
Nidorino,base4,54,2,6,9,base4-54,,NOT_FOUND,0.0,2-6-9
Parasect,base4,55,2,7,1,base4-55,,NOT_FOUND,0.0,2-7-1
Persian,base4,56,2,7,2,base4-56,,NOT_FOUND,0.0,2-7-2
Poliwhirl,base4,57,2,7,3,base4-57,,NOT_FOUND,0.0,2-7-3
Raticate,base4,58,2,7,4,base4-58,,NOT_FOUND,0.0,2-7-4
Rhydon,base4,59,2,7,5,base4-59,,NOT_FOUND,0.0,2-7-5
Seaking,base4,60,2,7,6,base4-60,,NOT_FOUND,0.0,2-7-6
Seel,base4,61,2,7,7,base4-61,,NOT_FOUND,0.0,2-7-7
Tauros,base4,62,2,7,8,base4-62,,NOT_FOUND,0.0,2-7-8
Wartortle,base4,63,2,7,9,base4-63,,NOT_FOUND,0.0,2-7-9
Weepinbell,base4,64,2,8,1,base4-64,,NOT_FOUND,0.0,2-8-1
Abra,base4,65,2,8,2,base4-65,,NOT_FOUND,0.0,2-8-2
Bellsprout,base4,66,2,8,3,base4-66,,NOT_FOUND,0.0,2-8-3
Bulbasaur,base4,67,2,8,4,base4-67,,NOT_FOUND,0.0,2-8-4
Caterpie,base4,68,2,8,5,base4-68,,NOT_FOUND,0.0,2-8-5
Charmander,base4,69,2,8,6,base4-69,,NOT_FOUND,0.0,2-8-6
Cubone,base4,70,2,8,7,base4-70,,NOT_FOUND,0.0,2-8-7
Diglett,base4,71,2,8,8,base4-71,,NOT_FOUND,0.0,2-8-8
Doduo,base4,72,2,8,9,base4-72,,NOT_FOUND,0.0,2-8-9
Drowzee,base4,73,2,9,1,base4-73,,NOT_FOUND,0.0,2-9-1
Exeggcute,base4,74,2,9,2,base4-74,,NOT_FOUND,0.0,2-9-2
Gastly,base4,75,2,9,3,base4-75,,NOT_FOUND,0.0,2-9-3
Goldeen,base4,76,2,9,4,base4-76,,NOT_FOUND,0.0,2-9-4
Jigglypuff,base4,77,2,9,5,base4-77,,NOT_FOUND,0.0,2-9-5
Machop,base4,78,2,9,6,base4-78,,NOT_FOUND,0.0,2-9-6
Magnemite,base4,79,2,9,7,base4-79,,NOT_FOUND,0.0,2-9-7
Meowth,base4,80,2,9,8,base4-80,,NOT_FOUND,0.0,2-9-8
Metapod,base4,81,2,9,9,base4-81,,NOT_FOUND,0.0,2-9-9
Nidoran ♀,base4,82,2,10,1,base4-82,,NOT_FOUND,0.0,2-10-1
Nidoran ♂,base4,83,2,10,2,base4-83,,NOT_FOUND,0.0,2-10-2
Onix,base4,84,2,10,3,base4-84,,NOT_FOUND,0.0,2-10-3
Paras,base4,85,2,10,4,base4-85,,NOT_FOUND,0.0,2-10-4
Pidgey,base4,86,2,10,5,base4-86,,NOT_FOUND,0.0,2-10-5
Pikachu,base4,87,2,10,6,base4-87,,NOT_FOUND,0.0,2-10-6
Poliwag,base4,88,2,10,7,base4-88,,NOT_FOUND,0.0,2-10-7
Rattata,base4,89,2,10,8,base4-89,,NOT_FOUND,0.0,2-10-8
Rhyhorn,base4,90,2,10,9,base4-90,,NOT_FOUND,0.0,2-10-9
Sandshrew,base4,91,2,11,1,base4-91,,NOT_FOUND,0.0,2-11-1
Spearow,base4,92,2,11,2,base4-92,,NOT_FOUND,0.0,2-11-2
Squirtle,base4,93,2,11,3,base4-93,,NOT_FOUND,0.0,2-11-3
Starmie,base4,94,2,11,4,base4-94,,NOT_FOUND,0.0,2-11-4
Staryu,base4,95,2,11,5,base4-95,,NOT_FOUND,0.0,2-11-5
Tangela,base4,96,2,11,6,base4-96,,NOT_FOUND,0.0,2-11-6
Venonat,base4,97,2,11,7,base4-97,,NOT_FOUND,0.0,2-11-7
Voltorb,base4,98,2,11,8,base4-98,,NOT_FOUND,0.0,2-11-8
Vulpix,base4,99,2,11,9,base4-99,,NOT_FOUND,0.0,2-11-9
Weedle,base4,100,2,12,1,base4-100,,NOT_FOUND,0.0,2-12-1
Computer Search,base4,101,2,12,2,base4-101,,NOT_FOUND,0.0,2-12-2
Imposter Professor Oak,base4,102,2,12,3,base4-102,,NOT_FOUND,0.0,2-12-3
Item Finder,base4,103,2,12,4,base4-103,,NOT_FOUND,0.0,2-12-4
Lass,base4,104,2,12,5,base4-104,,NOT_FOUND,0.0,2-12-5
Pokémon Breeder,base4,105,2,12,6,base4-105,,NOT_FOUND,0.0,2-12-6
Pokémon Trader,base4,106,2,12,7,base4-106,,NOT_FOUND,0.0,2-12-7
Scoop Up,base4,107,2,12,8,base4-107,,NOT_FOUND,0.0,2-12-8
Super Energy Removal,base4,108,2,12,9,base4-108,,NOT_FOUND,0.0,2-12-9
Defender,base4,109,2,13,1,base4-109,,NOT_FOUND,0.0,2-13-1
Energy Retrieval,base4,110,2,13,2,base4-110,,NOT_FOUND,0.0,2-13-2
Full Heal,base4,111,2,13,3,base4-111,,NOT_FOUND,0.0,2-13-3
Maintenance,base4,112,2,13,4,base4-112,,NOT_FOUND,0.0,2-13-4
PlusPower,base4,113,2,13,5,base4-113,,NOT_FOUND,0.0,2-13-5
Pokémon Center,base4,114,2,13,6,base4-114,,NOT_FOUND,0.0,2-13-6
Pokédex,base4,115,2,13,7,base4-115,,NOT_FOUND,0.0,2-13-7
Professor Oak,base4,116,2,13,8,base4-116,,NOT_FOUND,0.0,2-13-8
Super Potion,base4,117,2,13,9,base4-117,,NOT_FOUND,0.0,2-13-9
Bill,base4,118,2,14,1,base4-118,,NOT_FOUND,0.0,2-14-1
Energy Removal,base4,119,2,14,2,base4-119,,NOT_FOUND,0.0,2-14-2
Gust of Wind,base4,120,2,14,3,base4-120,,NOT_FOUND,0.0,2-14-3
Poké Ball,base4,121,2,14,4,base4-121,,NOT_FOUND,0.0,2-14-4
Potion,base4,122,2,14,5,base4-122,,NOT_FOUND,0.0,2-14-5
Switch,base4,123,2,14,6,base4-123,,NOT_FOUND,0.0,2-14-6
Double Colorless Energy,base4,124,2,14,7,base4-124,,NOT_FOUND,0.0,2-14-7
Fighting Energy,base4,125,2,14,8,base4-125,,NOT_FOUND,0.0,2-14-8
Fire Energy,base4,126,2,14,9,base4-126,,NOT_FOUND,0.0,2-14-9
Grass Energy,base4,127,2,15,1,base4-127,,NOT_FOUND,0.0,2-15-1
Lightning Energy,base4,128,2,15,2,base4-128,,NOT_FOUND,0.0,2-15-2
Psychic Energy,base4,129,2,15,3,base4-129,,NOT_FOUND,0.0,2-15-3
Water Energy,base4,130,2,15,4,base4-130,,NOT_FOUND,0.0,2-15-4
